method,n_patients,n_events,c_index_baseline,c_index_with_composition,delta_c_index,c_index_sd,n_repeats,status,interpretation,composition_source,event_policy
svr,29,29,0.4841975308641975,0.5644444444444444,0.08024691358024694,0.032983070576783305,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
nnls,29,29,0.4841975308641975,0.5612345679012345,0.07703703703703701,0.020923649681363326,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
bisque,29,29,0.4841975308641975,0.5209876543209877,0.036790123456790225,0.02709307007278066,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
bayesian_hierarchical,29,29,0.4841975308641975,0.5135802469135803,0.029382716049382807,0.024343224778007398,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
dwls,29,29,0.4841975308641975,0.5098765432098766,0.025679012345679153,0.05102515584976156,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
elastic_net,29,29,0.4841975308641975,0.5054320987654322,0.02123456790123468,0.028153562398933598,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
bayesian,29,29,0.4841975308641975,0.502716049382716,0.01851851851851849,0.022554443944037987,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
music,29,29,0.4841975308641975,0.48641975308641977,0.002222222222222292,0.010931330183298098,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
scdc,29,29,0.4841975308641975,0.48246913580246903,-0.0017283950617284494,0.03469465297827219,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
scdc_ensemble,29,29,0.4841975308641975,0.48246913580246903,-0.0017283950617284494,0.03469465297827219,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
